NOTE: Follows only available for FEED/CAROUSEL — Instagram does not provide this metric for Reels. For Reels use Reach + Total Interactions. ⭐ = matched against influencer list.,,,,,,,,,,,
Post Date,Type,Influencer Collab,Caption (preview),Link,Follows (Feed only),Reach,Likes,Saves,Shares,Total Interactions,Profile Visits
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,104,6,4,4,19,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,109,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,119,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,124,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,130,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,136,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,141,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,144,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,146,7,4,4,20,3
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,150,7,4,4,20,6
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,160,7,4,4,20,6
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,165,7,4,4,20,6
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,168,7,4,4,20,6
2026-06-01,FEED,,"More coils, more comfort 🌀 Our artisans are obsessed with crafting the best sleep experience. With 4...",https://www.instagram.com/p/DZDUqb9Gk_V/,0,170,7,4,4,20,6
